k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Match Rate;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
5;gftt_harris;nan;nan;nan;nan;vgg;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;beblid;2717.0;2733.0;0.003870228;0.0014161097694840835;HAM;Flann;4.9733570159857905;28.0;563.0;0.084074975;0.102051595;0.18126393428063942;3.6446998214285715;0.010305483989694516;0.0497335701598579;0.010305483989694516;0.017073170731707315
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;teblid;2717.0;2733.0;0.001942611;0.0007107980241492864;HAM;Flann;4.518072289156627;30.0;664.0;0.062233655;0.078282658;0.11789556927710844;2.6094219333333335;0.01104158998895841;0.045180722891566265;0.01104158998895841;0.017746228926353146
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;boost;2717.0;2733.0;0.034018478;0.01244730259787779;HAM;Flann;4.504504504504505;25.0;555.0;0.054540221;0.102665091;0.18498214594594592;4.10660364;0.009201324990798674;0.04504504504504504;0.009201324990798674;0.015281173594132027
5;star;nan;nan;nan;nan;sift;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;star;nan;nan;nan;nan;akaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;orb;5418.0;5426.0;0.008899729;0.0016402007003317363;HAM;Flann;3.8686987104337636;33.0;853.0;0.140729562;0.163801625;0.192030041031653;4.963685606060606;0.005869797225186766;0.038686987104337635;0.005869797225186766;0.010193050193050193
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;brisk;5622.0;5626.0;0.043755573;0.00777738588695343;HAM;Flann;100.0;5584.0;5584.0;0.334856847;0.392784754;0.07034110924068769;0.07034110924068769;0.9932408395588759;1.0;0.9932408395588759;0.9966089594859897
5;star;nan;nan;nan;nan;kaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;star;nan;nan;nan;nan;daisy;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;freak;5554.0;5554.0;0.026668064;0.004801595966870724;HAM;Flann;2.6147588611272514;135.0;5163.0;0.681997913;0.7228383110000001;0.1400035465814449;5.3543578592592596;0.0240128068303095;0.026147588611272515;0.0240128068303095;0.025034770514603615
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;brief;5475.0;5477.0;0.011099532;0.0020265714807376303;HAM;Flann;2.871205906480722;35.0;1219.0;0.113720184;0.13899205;0.11402136997538967;3.9712014285714288;0.0062255425115617215;0.02871205906480722;0.0062255425115617215;0.01023242216050285
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;lucid;5622.0;5626.0;0.019938157;0.0035439312122289377;HAM;Flann;99.982149232417;5601.0;5602.0;0.459354086;0.493464577;0.08808721474473402;0.08810294179610784;0.996264674493063;0.99982149232417;0.996264674493063;0.998039914468995
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;latch;5535.0;5542.0;0.004963587;0.0008956309996391194;HAM;Flann;2.848242100578549;64.0;2247.0;0.041093034;0.060228955;0.026804163328882958;0.941077421875;0.011383849163998577;0.02848242100578549;0.011383849163998577;0.016266361672385307
5;star;nan;nan;nan;nan;vgg;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;beblid;5622.0;5626.0;0.007681668;0.0013653871311766798;HAM;Flann;3.1914893617021276;27.0;846.0;0.212170782;0.234024784;0.2766250401891253;8.667584592592593;0.0048025613660619;0.031914893617021274;0.0048025613660619;0.008348794063079777
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;teblid;5622.0;5626.0;0.003445854;0.0006124873800213295;HAM;Flann;3.2128514056224895;32.0;996.0;0.174224213;0.191842401;0.19261285240963855;5.99507503125;0.005691924581999288;0.0321285140562249;0.005691924581999288;0.00967059534602599
5;star;5622.0;5626.0;0.014172334;0.002519078208318521;boost;5622.0;5626.0;0.059003918;0.010487720938499824;HAM;Flann;2.7803521779425395;30.0;1079.0;0.188314264;0.261490516;0.24234524189063947;8.716350533333333;0.005336179295624333;0.027803521779425393;0.005336179295624333;0.008953887479480676
5;hl;nan;nan;nan;nan;sift;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;hl;nan;nan;nan;nan;akaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;hl;3725.0;3277.0;0.638700715;0.19490409368324688;orb;3092.0;2503.0;0.007543173;0.003013652816620056;HAM;Flann;5.912596401028278;23.0;389.0;0.064029522;0.71027341;1.8258956555269923;30.881452608695653;0.006174496644295302;0.05912596401028278;0.007018614586512054;0.011181332036947012
5;hl;3725.0;3277.0;0.638700715;0.19490409368324688;brisk;3334.0;2835.0;0.024109358;0.008504182716049384;HAM;Flann;4.553415061295972;26.0;571.0;0.102251666;0.7650617390000001;1.3398629404553417;29.4254515;0.00697986577181208;0.04553415061295972;0.007934086054317974;0.012104283054003726
5;hl;nan;nan;nan;nan;kaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;hl;nan;nan;nan;nan;daisy;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;hl;3725.0;3277.0;0.638700715;0.19490409368324688;freak;2961.0;2411.0;0.012480742;0.0051765831605143095;HAM;Flann;4.498269896193772;26.0;578.0;0.110563823;0.7617452800000001;1.3178984083044984;29.29789538461539;0.00697986577181208;0.04498269896193772;0.007934086054317974;0.012084592145015106
5;hl;3725.0;3277.0;0.638700715;0.19490409368324688;brief;3142.0;2617.0;0.005465853;0.002088594956056553;HAM;Flann;6.601941747572816;34.0;515.0;0.039285059;0.6834516270000001;1.3270905378640778;20.101518441176474;0.00912751677852349;0.06601941747572816;0.010375343301800427;0.016037735849056604
